Name,Assign,Status
Phase 1.1 — Scaffold Electron + Vite + React,,Done
Phase 1.2 — Install and configure Tailwind,,Done
Phase 1.3 — Install and configure shadcn,,Done
Phase 1.4 — Set up main/renderer IPC bridge,,Done
Phase 1.5 — Write config.json on first launch,,Done
Phase 1.6 — Folder picker — select and save libraryRoot,,Done
Phase 1.7 — Read config.json on startup,,Done
Phase 1.8 — Show setup screen when libraryRoot is null,,Done
Phase 1.9 — Verify libraryRoot exists on disk,,Done
Phase 2.1 — Create folder directory on disk,,Done
Phase 2.2 — Write .manifest.json into new folder,,Done
Phase 2.3 — Build create folder form,,Done
Phase 2.4 — Insert new folder into SQLite,,Done
Phase 2.5 — Scan libraryRoot for folders on startup,,Done
Phase 2.6 — Return folders array to renderer,,Done
Phase 2.7 — Build sidebar with folder list,,Done
Phase 2.8 — Show folder artwork in sidebar,,Done
Phase 2.9 — Build folder detail view,,Done
Phase 3.2 — Build track list table,,In progress
Phase 2.10 — Add tracks via file picker,,In progress
Phase 3.1 — Copy track files into folder,,In progress
Phase 3.3 — Append tracks to manifest,,To Do
Phase 3.4 — Insert tracks into SQLite,,To Do
Phase 3.5 — Return updated track list to renderer,,To Do
Phase 3.6 — Reorder tracks via drag and drop,,To Do
Phase 3.7 — Write new track order to manifest,,To Do
Phase 3.8 — Update track order in SQLite,,To Do
Phase 3.9 — Confirm track deletion,,To Do
Phase 3.10 — Delete track file from disk,,To Do
Phase 3.11 — Remove track from manifest,,To Do
Phase 3.12 — Delete track from SQLite,,To Do
Phase 4.1 — Create and manage a single AudioContext instance,,Done
Phase 4.2 — Load file and decode audio,,Done
Phase 4.3 — Create AudioBufferSourceNode and connect to destination,,Done
Phase 4.4 — Play and pause controls,,Done
Phase 4.5 — Track playback position with AudioContext.currentTime,,Done
Phase 4.6 — Add GainNode to signal chain,,To Do
Phase 4.7 — Add AnalyserNode to signal chain,,To Do
Phase 4.8 — Volume control,,To Do
Phase 5.1 — Set up React Three Fiber scene,,To Do
Phase 4.9 — Seek control,,To Do
Phase 5.2 — Read frequency data in useFrame,,To Do
Phase 5.3 — Map frequency bands to geometry,,To Do
Phase 5.4 — Build and refine visualizer scene,,To Do
Phase 6.1 — Edit track title and artist inline,,To Do
Phase 6.2 — Rename track file on disk,,To Do
Phase 6.3 — Update track metadata in SQLite,,To Do
Phase 6.4 — Build folder edit dialog,,To Do
Phase 6.5 — Rename folder on disk,,To Do
Phase 6.6 — Update folder metadata in SQLite,,To Do
Phase 6.7 — Artwork upload,,To Do
Phase 7.1 — Build search input,,To Do
Phase 7.2 — Search query — tracks and folders,,To Do
Phase 7.3 — Deep link from search result,,To Do
Phase 7.4 — Rebuild index utility,,To Do
Phase 8.1 — Flag missing track files in UI,,To Do
Phase 8.2 — Handle missing libraryRoot on startup,,To Do
Phase 8.3 — Settings dialog,,To Do
Phase 8.4 — Change library location in settings,,To Do
Phase 8.5 — Add tooltips to icon-only buttons,,To Do
Phase 8.6 — Add skeleton loading states,,To Do
Phase 8.7 — Audit and clean up animation loops,,To Do
Phase 8.8 — General UI polish,,To Do
